SEEDGWAS2078id	general_identifier	number	name	bank_number	breeders_code	subtaxa_id...7	taxonomy_id	institution_id	breeder_id	plant_passport	donor_code	donor_number	acqdate	collnumb	colldate	collcode	duplsite	biologicalstatus_id	collsrc_id	location_id	created_on	updated_on	locations_id	locations_state	locations_region	locations_site_name	locations_elevation	locations_latitude	locations_longitude	countries_id	countries_country_code2	countries_country_code3	countries_country_name	subtaxa_id...35	subtaxa_subtaxa_author	subtaxa_taxonomic_identifier	taxonomies_id	taxonomies_genus	taxonomies_species	taxonomies_species_author	taxonomies_crop_name	taxonomies_ploidy	Sample ID of DNA from composite samples	Sample ID of DNA from original CMLs	Sample ID of DNA from most recent CML regenerations	Sample ID for DNA from intermediate CML regenerations	Sample ID of DNA from single plants used in GWAS	Tester GID	Tester pedigree	Testcross GID	PrimaryRace	PrimaryPurity	SecondaryRace	Pedigree	GrainType1	GrainType2	GrainType3	GrainColor1	GrainColor2	GrainColor3	PopulationType	flowering_season_start	growing_season_start	X.unlist.strsplit.pca_sample_names....n....
1	11	NA	11	CIMMYTMA-BANK-000001	NA	NA	2	NA	NA	NA	NA	NA	NA	MICHGP1	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:26Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1248	NA	NA	NA	SEEDGWAS588	242919	CML495/CML494	241658	TUXPEN	NA	NA	NA	Dent	NA	NA	White	Yellow	Sun red	Group	NA	NA	SEEDGWAS588
2	24	NA	24	CIMMYTMA-BANK-000002	NA	NA	2	NA	NA	NA	NA	NA	NA	MICHGP2	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:26Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1249	NA	NA	NA	SEEDGWAS2072	242919	CML495/CML494	238634	TUXPEN	NA	NA	NA	Dent	NA	NA	White	Yellow	NA	Group	NA	NA	SEEDGWAS2072
3	33	NA	33	CIMMYTMA-BANK-000003	NA	NA	2	NA	NA	NA	NA	NA	NA	MICH129	1946-01-01	NA	NA	NA	NA	9264	2014-11-24T15:10:26Z	NA	9264	NA	NA	TEPALCATEPEC	364	19.18333333	-102.8333333	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1250	NA	NA	NA	SEEDGWAS3790	242914	CML373/CML311	240585	TUXPEN	NA	NA	NA	Dent	NA	NA	White	NA	NA	Collection	NA	NA	SEEDGWAS3790
4	34	NA	34	CIMMYTMA-BANK-000004	NA	NA	2	NA	NA	NA	NA	NA	NA	MICHGP4	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:26Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1251	NA	NA	NA	SEEDGWAS3791	242914	CML373/CML311	240586	TUXPEN	NA	NA	NA	Dent	NA	NA	White	Yellow	NA	Group	NA	NA	SEEDGWAS3791
5	41	NA	41	CIMMYTMA-BANK-000005	NA	NA	2	NA	NA	NA	NA	NA	NA	MICH200	1952-01-01	NA	NA	NA	NA	9388	2014-11-24T15:10:26Z	NA	9388	NA	NA	TINGANBATO	1919	19.5	-101.8666667	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1252	NA	NA	NA	SEEDGWAS589	242913	CML269/CML264	241659	TUXPEN	NA	NA	NA	Dent	NA	NA	White	Yellow	NA	Collection	NA	NA	SEEDGWAS589
6	52	NA	52	CIMMYTMA-BANK-000006	NA	NA	2	NA	NA	NA	NA	NA	NA	MICH168	1952-02-15	NA	NA	NA	NA	2992	2014-11-24T15:10:26Z	NA	2992	NA	COAHUAYANA	EL RANCHITO	23	18.6781	-103.661841	484	MX	MEX	MEXICO	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1253	NA	NA	NA	SEEDGWAS677	242916	CML451/CML486	241748	TUXPEN	NA	NA	NA	Dent	NA	NA	Yellow	Sun red	White	Collection	NA	NA	SEEDGWAS677
7	60	NA	60	CIMMYTMA-BANK-000007	NA	NA	2	NA	NA	NA	NA	NA	NA	MICHGP7	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:27Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1254	NA	NA	NA	SEEDGWAS3792	242919	CML495/CML494	240587	TUXPEN	NA	CELAYA	NA	Dent	NA	NA	White	Yellow	Blue	Group	NA	NA	SEEDGWAS3792
8	65	NA	65	CIMMYTMA-BANK-000008	NA	NA	2	NA	NA	NA	NA	NA	NA	MICHGP8	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:27Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1255	NA	NA	NA	SEEDGWAS2302	242912	CML244/CML349	268164	TUXPEN	NA	NA	NA	Dent	NA	NA	White	Yellow	NA	Group	NA	NA	SEEDGWAS2302
9	67	NA	67	CIMMYTMA-BANK-000011	NA	NA	2	NA	NA	NA	NA	NA	NA	MICHGP10	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:27Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1258	NA	NA	NA	SEEDGWAS678	242913	CML269/CML264	241749	OLOTIL	NA	NA	NA	Dent	NA	NA	White	Yellow	Red	Group	NA	NA	SEEDGWAS678
10	83	NA	83	CIMMYTMA-BANK-000013	NA	NA	2	NA	NA	NA	NA	NA	NA	MICHGP12	1960-01-01	NA	NA	NA	NA	NA	2014-11-24T15:10:27Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	Zea	mays subsp. mays	NA	Maize	2	SEEDDIV1260	NA	NA	NA	SEEDGWAS5184	242914	CML373/CML311	286713	REVENT	NA	NA	NA	Flint	NA	NA	White	Yellow	NA	Group	NA	NA	SEEDGWAS5184
